max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,max,min
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.36666666666666664,0.2,0,1
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.36666666666666664,0.2,0,0
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.95,0.9666666666666667,1,0
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.36666666666666664,0.2,0,0
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.5333333333333334,0.6666666666666666,0,0
15,0.99,0.0,0.03,0.01,0.11,0.9416666666666667,0.9666666666666667,0,0
9,0.74,0.0,0.01,0.01,0.14,0.95,0.9666666666666667,0,0
15,0.99,0.0,0.01,0.01,0.08,0.9416666666666667,0.9666666666666667,0,0
15,0.99,0.0,0.01,0.01,0.01,0.95,0.9666666666666667,0,0
15,0.99,0.0,0.01,0.01,0.22,0.9416666666666667,0.9666666666666667,0,0
15,0.99,0.0,0.01,0.01,0.03,0.95,1.0,0,0
15,0.98,0.0,0.01,0.01,0.02,0.9416666666666667,1.0,0,0
15,0.99,0.0,0.01,0.01,0.04,0.95,1.0,0,0
15,0.99,0.0,0.01,0.01,0.06,0.9416666666666667,0.9666666666666667,0,0
15,0.98,0.0,0.01,0.01,0.49,0.5666666666666667,0.5666666666666667,0,0
10,0.66,0.0,0.07,0.16,0.23,0.95,0.9666666666666667,0,0
9,0.68,0.0,0.02,0.07,0.24,0.95,0.9666666666666667,0,0
15,0.99,0.0,0.02,0.02,0.24,0.9416666666666667,0.9666666666666667,0,0
10,0.51,0.0,0.04,0.42,0.21,0.95,0.9666666666666667,0,0
8,0.45,0.0,0.18,0.24,0.08,0.7416666666666667,0.8,0,0
12,0.59,0.0,0.03,0.05,0.26,0.95,0.9666666666666667,0,0
15,0.99,0.0,0.01,0.01,0.02,0.9416666666666667,1.0,0,0
14,0.77,0.0,0.01,0.01,0.08,0.9416666666666667,0.9666666666666667,0,0
15,0.99,0.0,0.01,0.01,0.07,0.9416666666666667,0.9666666666666667,0,0
14,0.9,0.0,0.01,0.01,0.16,0.9416666666666667,0.9666666666666667,0,0
15,0.99,0.0,0.01,0.02,0.01,0.95,0.9666666666666667,0,0
9,0.74,0.0,0.01,0.01,0.07,0.95,0.9666666666666667,0,0
9,0.67,0.0,0.01,0.01,0.24,0.95,0.9666666666666667,0,0
9,0.67,0.0,0.01,0.01,0.17,0.95,0.9666666666666667,0,0
14,0.9,0.0,0.01,0.01,0.04,0.95,1.0,0,0
